filename,dur,start,drumkit,instrument_key,instrument,priority,power
Akai_MPC-X__49crash.mp3,2265,0,Akai MPC,crash,c,,5.73
Akai_MPC-X__44hat_pedal.mp3,71,0,Akai MPC,hat_pedal,h,,4.19
Akai_MPC-X__42hat_closed.mp3,90,0,Akai MPC,hat_closed,hc,,1
Akai_MPC-X__52_hat_open.mp3,634,0,Akai MPC,hat_open,ho,,1.98
Akai_MPC-X__46hat_open.mp3,416,0,Akai MPC,hat_open,ho,1,5.55
Akai_MPC-X__35kick.mp3,241,0,Akai MPC,kick,k,,13.98
Akai_MPC-X__36kick.mp3,217,0,Akai MPC,kick,k,1,4.17
Akai_MPC-X__37rimshot.mp3,279,0,Akai MPC,rimshot,r,,3.35
Akai_MPC-X__38snare.mp3,391,0,Akai MPC,snare,s,,5.32
Akai_MPC-X__60_snare.mp3,95,0,Akai MPC,snare,s,1,5.86
Akai_MPC-X__40snare.mp3,600,0,Akai MPC,snare,s,,11.53
Akai_MPC-X__47tom_high.mp3,500,0,Akai MPC,tom_high,t,,8.82
Akai_MPC-X__45tom_mid.mp3,500,0,Akai MPC,tom_mid,tt,,9.66
Akai_MPC-X__43tom_low.mp3,500,0,Akai MPC,tom_low,ttt,,6.5
Akai_MPC-X__41tom_low.mp3,482,0,Akai MPC,tom_low,ttt,1,6.44
Akai_MPC-X__59cymbal.mp3,2358,0,Akai MPC,cymbal,y,,0.82
Akai_MPC-X__51ride.mp3,1499,0,Akai MPC,ride,y,1,4.16
Akai_MPC-X__76woodblock_high.mp3,135,0,Akai MPC,woodblock_high,,,5.56
Akai_MPC-X__63conga.mp3,193,0,Akai MPC,conga,,,11.84
Akai_MPC-X__77woodblock_low.mp3,123,0,Akai MPC,woodblock_low,,,5.77
Akai_MPC-X__75_stick.mp3,116,0,Akai MPC,stick,,,4.43
Akai_MPC-X__54_stickhit.mp3,356,0,Akai MPC,stickhit,,,6.55
Akai_MPC-X__39clap.mp3,401,0,Akai MPC,clap,,,8.07
Emu_Sp12__57crash.mp3,465,0,E-mu SP-12,crash,c,,9.39
Emu_Sp12__42_hihat_c.mp3,358,0,E-mu SP-12,hihat_c,hc,,2.41
Emu_Sp12__46hat_o.mp3,684,0,E-mu SP-12,hat_o,ho,,5.07
Emu_Sp12__64kick.mp3,248,0,E-mu SP-12,kick,k,2,10.92
Emu_Sp12__36bass.mp3,565,0,E-mu SP-12,bass,k,4,4.85
Emu_Sp12__35bass1.mp3,364,0,E-mu SP-12,bass1,k,3,7.68
Emu_Sp12__49modular_kick.mp3,731,0,E-mu SP-12,modular_kick,k,1,10.25
