artist,title,year,category,bpm,bar,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Marva Whitney,Unwind Yourself,1969,1,126,1,"ka,h",,h,,"sa,h",,h,sg,h,sg,"k,h",,"sa,h",,"k,h",
Marva Whitney,Unwind Yourself,1969,1,126,2,"ka,h",,h,,"sa,h",,h,sg,h,sg,"k,h",,"sa,h",,"k,h",
Marva Whitney,Unwind Yourself,1969,1,126,3,"ka,h",,h,,"sa,h",,h,sg,h,sg,"k,h",,"sa,h",,"kg,h",
Marva Whitney,Unwind Yourself,1969,1,126,4,"ka,h",,h,,"sa,h",,h,sg,h,sg,"k,h",,"sa,h",,"k,h",
A Tribe Called Quest,Youthful Expression,1990,1,109,1,"k,h",,"k,h",,"sa,h",,h,sg,"kg,h",,"k,h",,"sa,h",,h,sg
A Tribe Called Quest,Youthful Expression,1990,1,109,2,"k,h",,"k,h",,"sa,h",,h,sg,h,,"k,h",,"sa,h",,h,sg
A Tribe Called Quest,Youthful Expression,1990,1,109,3,"k,h",,h,,"sa,h",,h,sg,h,,"k,h",,"sa,h",,h,sg
A Tribe Called Quest,Youthful Expression,1990,1,109,4,"k,h",,"k,h",,"sa,h",,h,sg,h,,"k,h",,"sa,h",,"k,h",sg
The Roots,Don't Say Nuthin,2004,2,99,1,"k,h",,h,,"sa,h",,h,,h,,"k,h",,"sa,h",k,h,
The Roots,Don't Say Nuthin,2004,2,99,2,"k,h",,h,,"sa,h",,h,,h,,h,,"sa,h",k,h,
Average White Band,School Boy Crush,1975,2,88,1,"k,h",,h,,"sa,h",,ha,k,ha,k,ha,,"sa,h",,ha,
Average White Band,School Boy Crush,1975,2,88,2,"k,ha",,h,,"sa,h",,ha,k,ha,k,ha,,"sa,h",,ha,
Average White Band,School Boy Crush,1975,2,88,3,"k,h",,h,,"sa,h",,ha,k,ha,k,ha,,"sa,h",,ha,
Average White Band,School Boy Crush,1975,2,88,4,"k,ha",,h,,"sa,h",,ha,k,ha,k,ha,,"sa,h",,sa,sa
Minnie Riperton,Baby This Love I Have,1975,2,82,1,ha,,h,,"h,r",k,h,,ha,,h,,"h,r",,h,
Minnie Riperton,Baby This Love I Have,1975,2,82,2,ha,,h,,"h,r",k,ha,,"k,ha",,h,,"h,r",,h,
Bob James,Take Me to the Mardi Gras,1975,3,104,1,"k,ha",,h,k,"sa,h",,"sg,h",sg,ha,sg,"k,h",,"sa,h",k,"sg,h",sg
Bob James,Take Me to the Mardi Gras,1975,3,104,2,"k,ha",,h,k,"sa,h",,h,sa,ha,sg,"k,h",,"sa,h",,ho,
Bob James,Take Me to the Mardi Gras,1975,3,104,3,"k,hac",,h,k,"sa,h",,h,sa,ha,sg,"k,h",,"sa,h",,"sg,h",sg
Bob James,Take Me to the Mardi Gras,1975,3,104,4,"k,ha",sg,h,k,"sa,h",,h,sa,ha,sg,"k,h",sg,sa,sa,t,sg
Lyn Collins,Think (About It),1972,3,113,1,"k,h",,h,,"sa,h",,h,sg,h,sg,"sg,h",,"sa,h",,h,
Lyn Collins,Think (About It),1972,3,113,2,"k,ho",,,,"sa,hc",,h,sg,h,sg,"sg,h",,sa,,h,
Duke Williams and the Extremes,Chinese Chicken,1973,3,116,1,"k,h",sg,h,,"sa,h",sg,ha,sa,"k,ha",,"k,ha",,"sa,h",,h,sg
Duke Williams and the Extremes,Chinese Chicken,1973,3,116,2,"k,ha",sg,ha,k,"sa,h",,ha,sa,"k,ha",,"k,ha",,"sa,h",sg,ho,sg
Duke Williams and the Extremes,Chinese Chicken,1973,3,116,3,"k,hac",sg,ha,k,"sa,h",,ha,sa,"k,ha",,"k,ha",,"sa,h",,ha,
Duke Williams and the Extremes,Chinese Chicken,1973,3,116,4,"sa,h",,ha,,"sa,h",sg,ha,sa,"kg,h",sa,sa,sa,sa,sa,sa,sa
Tower of Power,Squib Cakes,1974,3,112,1,"k,c",sg,"k,sg,h",k,"sa,h",,"sg,h",sg,h,sg,ho,sg,"sa,ho",,"sg,h",sg
Tower of Power,Squib Cakes,1974,3,112,2,k,sg,"sg,h",k,"sa,h",,"sg,h",sg,h,sg,"k,ho",sg,"sa,ho",,"sg,hc",sg
Tower of Power,Squib Cakes,1974,3,112,3,"k,h",sg,"sg,h",k,"sa,h",,"sa,h",sg,h,sg,sa,h,sa,h,k,h
Tower of Power,Squib Cakes,1974,3,112,4,k,"k,h",h,sa,sg,ho,s,h,ho,sg,h,sg,sa,sa,t,sg
Sharon Jones and the Dap Kings,Ain't It Hard,2002,3,113,1,"k,h",,h,,"sa,h",,h,,"sa,h",,"k,h",,"h,r",,"sa,h",sg
Sharon Jones and the Dap Kings,Ain't It Hard,2002,3,113,2,h,sg,"k,h",sg,"sa,h",sg,"k,h",sg,h,sg,"k,h",,"sa,h",sg,"k,h",sg
Sharon Jones and the Dap Kings,Ain't It Hard,2002,3,113,3,"k,h",,"k,h",,"sa,h",,h,sa,h,s,"k,h",,"sa,h",,h,
Sharon Jones and the Dap Kings,Ain't It Hard,2002,3,113,4,"k,c",,,,"k,c",,,,c,,s,s,t,t,ttt,ttt
James Brown,Mother Popcorn,1969,3,117,1,"k,h",,k,,"sa,h",,,,h,sg,k,,h,,sa,
James Brown,Mother Popcorn,1969,3,117,2,h,sg,k,sg,h,sg,k,sg,"k,h",sa,k,sg,"sa,h",sg,k,sg
Gary Numan,Films,1979,4,99,1,"k,c",k,h,k,"sa,h",,h,,"k,h",k,h,k,"sa,h",,h,
Gary Numan,Films,1979,4,99,2,k,k,h,k,"sa,h",,h,,"k,h",k,h,sa,sa,sa,k,k
Gary Numan,Films,1979,4,99,3,"k,c",k,h,k,"sa,h",,h,,"k,h",k,h,k,"sa,h",,h,
Gary Numan,Films,1979,4,99,4,k,k,h,k,"sa,h",,h,,"k,h",k,h,sa,sa,sa,k,k
James Brown,Funky President,1974,4,99,1,"k,h",,h,k,"sa,h",,h,k,h,k,"k,ho",,"sa,hc",,"sg,h",sg
James Brown,Funky President,1974,4,99,2,"k,h",sg,h,k,"sa,h",,h,k,h,k,"k,ho",,"sa,hc",,"sg,h",sb
James Brown,Funky President,1974,4,99,3,"k,h",sg,h,k,"sa,h",,h,k,h,k,"k,ho",,"sa,hc",,"sg,h",sg
James Brown,Funky President,1974,4,99,4,"k,h",,h,k,"sa,h",,h,k,h,k,"k,ho",,"sa,hc",,"sg,h",sg
The Skull Snaps,It's a New Day,1973,4,95,1,"k,ha",,"k,h",,"s,h",,ha,,ha,,"k,h",k,"s,h",,ha,k
Lee Dorsey,"Get Out of My Life, Woman",1966,4,89,1,"k,h",,ha,,"sa,ha",,ha,k,"k,h",,"k,ha",,"sa,ha",,ha,k
Gang Starr,Above the Clouds,1998,4,86,1,"k,h",,h,,"sa,h",,h,k,"k,h",,h,,"sa,h",,h,k
Gang Starr,Above the Clouds,1998,4,86,2,"k,h",,h,,"sa,h",,h,k,"k,h",,"k,h",,"sa,h",,h,k
Gang Starr,Above the Clouds,1998,4,86,3,"k,h",,h,,"sa,h",,h,k,"k,h",,h,,"sa,h",,h,k
Gang Starr,Above the Clouds,1998,4,86,4,"k,h",,"k,h",,"sa,h",,h,k,"k,h",,"k,h",,"sa,h",,h,k
Leon Haywood,I Want'a Do Something Freaky to You,1975,5,94,1,"k,h",,h,,"r,h",,"k,h",,"k,h",,h,,"r,h",,"k,h",
Leon Haywood,I Want'a Do Something Freaky to You,1975,5,94,2,"k,h",,h,,"r,h",,"k,h",,"k,h",,"k,ho",,"r,hc",,"k,h",
The Honeydrippers,Impeach the President,1973,5,97,1,"k,h",,h,,"sa,h",,h,"k,h","k,h",,"k,ho",,"sa,hc",,"k,h",
Aretha Franklin,Rocksteady,1972,5,105,1,"k,h",sg,"k,h",k,"sa,h",,"sa,h",sg,h,s,"k,h",k,"sa,h",,"sa,h",sg
